,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,0j,0j,0j,0j,0j,0j,(3.629281886610219-5.443953557896757j),0j,0j,0j,(-5718.340768703259+8577.559568436895j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(5697.972561978043-8547.007085897909j),0j,0j,(10.297540774659115-15.44639834800827j),(3.1221767462893393-4.683291553916662j),(3.3192073176571126-4.978839079163831j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-17162.69113251876+25743.679961677793j),(61.04970602119332-91.57507592033473j),(17093.91768593413-25641.02125769373j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(7.723740563436095-11.083628063726088j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(61.04970602119332-91.57507592033473j),(-61.04970602119332+91.57507592033473j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(17093.91768593413-25641.02125769373j),0j,(-17093.91768593413+25641.02125769373j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
14,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-30.935791460578137+46.40394911442542j),(3.4099177510341376-5.114905497245906j),(5.660237644349049-8.490404389964809j),(7.769962584515513-11.655009662588055j),(5.688491742407365-8.532785776270792j),(3.8849812922577565-5.827504831294028j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.5222004460143195-6.783338957061831j),0j,0j,0j,0j,0j,0j
15,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(3.4099177510341376-5.114905497245906j),(-3.4099177510341376+5.114905497245906j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
16,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(5.660237644349049-8.490404389964809j),0j,(-5.660237644349049+8.490404389964809j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(7.769962584515513-11.655009662588055j),0j,0j,(-7.769962584515513+11.655009662588055j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
18,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(5.688491742407365-8.532785776270792j),0j,0j,0j,(-5.688491742407365+8.532785776270792j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
19,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(3.8849812922577565-5.827504831294028j),0j,0j,0j,0j,(-3.8849812922577565+5.827504831294028j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
